,DEPTH_RIMFLOOR_TOPOGunique_values,counts
0,0.0,307529
1,0.07,2059
2,0.08,2047
3,0.09,2008
4,0.1,1999
5,0.11,1953
6,0.06,1895
7,0.12,1853
8,0.13,1763
9,0.05,1743
10,0.04,1644
11,0.14,1632
12,0.15,1627
13,0.16,1541
14,0.17,1435
15,0.18,1365
16,0.19,1363
17,0.03,1301
18,0.21,1247
19,0.2,1201
20,0.22,1189
21,0.23,1110
22,0.25,1091
23,0.24,1040
24,0.26,1021
25,0.27,1004
26,0.28,934
27,0.29,930
28,0.3,915
29,0.02,862
30,0.32,846
31,0.33,833
32,0.31,827
33,0.34,816
34,0.38,799
35,0.35,798
36,0.36,789
37,0.37,761
38,0.39,731
39,0.41,730
40,0.4,717
41,0.44,698
42,0.42,687
43,0.43,684
44,0.45,681
45,0.47,657
46,0.46,631
47,0.49,621
48,0.5,590
49,0.48,581
50,0.52,570
51,0.51,562
52,0.53,559
53,0.54,526
54,0.56,499
55,0.55,489
56,0.58,467
57,0.57,459
58,0.62,446
59,0.59,425
60,0.64,420
61,0.61,419
62,0.6,406
63,0.63,405
64,0.01,404
65,0.66,390
66,0.65,379
67,0.68,353
68,0.7,347
69,0.67,337
70,0.69,333
71,0.71,328
72,0.75,316
73,0.76,311
74,0.73,310
75,0.78,302
76,0.74,297
77,0.72,293
78,0.79,271
79,0.81,271
80,0.77,262
81,0.8,254
82,0.85,233
83,0.82,233
84,0.84,212
85,0.87,212
86,0.83,206
87,0.89,200
88,0.86,188
89,0.9,188
90,0.88,171
91,0.92,169
92,0.91,165
93,0.99,154
94,0.94,154
95,0.95,150
96,0.93,148
97,0.96,144
98,0.97,143
99,0.98,137
100,1.04,132
101,1.0,130
102,1.02,130
103,1.01,122
104,1.03,113
105,1.05,111
106,1.11,107
107,1.07,101
108,1.14,99
109,1.06,99
110,1.08,94
111,1.13,92
112,1.16,92
113,1.17,88
114,1.09,88
115,1.1,88
116,1.18,87
117,1.12,87
118,1.15,82
119,1.19,70
120,1.2,68
121,1.25,68
122,1.22,67
123,1.26,66
124,1.21,65
125,1.23,64
126,1.32,64
127,1.24,58
128,1.27,58
129,1.38,58
130,1.36,58
131,1.33,53
132,1.31,52
133,1.3,52
134,1.39,52
135,1.35,51
136,1.29,49
137,1.41,48
138,1.28,47
139,1.45,47
140,1.34,46
141,1.37,46
142,1.42,45
143,1.57,44
144,1.4,43
145,1.46,43
146,1.5,42
147,1.48,41
148,1.44,41
149,1.52,40
150,1.43,38
151,1.51,37
152,1.47,36
153,1.55,33
154,1.6,32
155,1.65,31
156,1.49,31
157,1.69,30
158,1.63,30
159,1.58,30
160,1.59,28
161,1.61,28
162,1.54,26
163,1.71,25
164,1.74,24
165,1.56,23
166,1.72,23
167,1.53,23
168,1.64,21
169,1.97,20
170,1.7,19
171,1.62,19
172,1.67,18
173,1.68,18
174,1.77,17
175,1.84,17
176,1.83,17
177,1.87,17
178,1.76,16
179,1.85,16
180,1.86,16
181,1.66,16
182,1.88,16
183,1.93,16
184,1.94,15
185,1.99,15
186,1.78,15
187,1.75,15
188,1.95,15
189,1.79,15
190,1.82,14
191,1.73,14
192,2.0,14
193,1.98,13
194,1.96,13
195,1.89,13
196,1.91,13
197,1.9,12
198,2.16,11
199,2.07,11
200,2.06,11
201,2.15,11
202,1.92,10
203,1.81,10
204,2.14,9
205,2.11,9
206,1.8,9
207,2.08,9
208,2.03,8
209,2.01,8
210,2.04,8
211,2.13,8
212,2.25,7
213,2.09,7
214,2.02,7
215,2.26,7
216,2.27,7
217,2.19,6
218,2.1,6
219,2.44,6
220,2.28,6
221,2.22,5
222,2.21,5
223,2.2,5
224,2.23,5
225,2.05,5
226,2.32,5
227,2.12,5
228,2.17,5
229,2.4,5
230,2.56,4
231,2.3,4
232,2.24,4
233,2.29,4
234,2.36,4
235,2.55,4
236,2.42,4
237,-0.02,4
238,2.37,3
239,2.31,3
240,2.41,3
241,2.45,3
242,2.39,3
243,2.59,3
244,-0.01,3
245,2.53,3
246,2.51,2
247,2.49,2
248,2.65,2
249,2.38,2
250,2.77,2
251,3.14,2
252,2.33,2
253,2.91,2
254,2.62,2
255,2.54,2
256,2.52,2
257,2.35,2
258,2.5,2
259,-0.03,2
260,2.67,2
261,2.78,1
262,3.1,1
263,2.98,1
264,2.57,1
265,2.48,1
266,2.69,1
267,4.01,1
268,3.6,1
269,3.8,1
270,3.03,1
271,3.47,1
272,2.9,1
273,2.94,1
274,2.83,1
275,-0.42,1
276,4.72,1
277,3.64,1
278,3.31,1
279,2.95,1
280,2.63,1
281,2.72,1
282,2.82,1
283,3.11,1
284,2.89,1
285,2.58,1
286,2.73,1
287,3.13,1
288,2.87,1
289,2.79,1
290,2.76,1
291,4.75,1
292,2.84,1
293,4.95,1
294,2.97,1
295,3.08,1
